et_dysfunction,risk,risk_score
0.0,High,0.8741479223039249
0.1,High,0.9003353835718829
0.2,High,0.9265965789694972
0.30000000000000004,High,0.9527641471383046
0.4,High,0.981467364588262
0.5,High,1.0
0.6000000000000001,High,1.0
0.7000000000000001,High,1.0
0.8,High,1.0
0.9,High,1.0
1.0,High,1.0
